,Team,First date home stadium open to fans,County(s),State,% fans,Counties,State.1,% fans.1,Unnamed: 8,Stadium_Counties,Donor_Counties
0,Arizona,10/25/2020,maricopa,AZ,,,,,,[],"['cochise', 'yavapai', 'gila', 'greenlee', 'coconino', 'navajo', 'apache', 'pima', 'mohave', 'graham', 'santa cruz', 'yuma', 'pinal', 'la paz']"
1,Atlanta,10/25/2020,fulton,GA,18.63,cobb,GA,8.24,"April 12, 2020: Our database changed to exclude cases in non-Georgia residents, leading to a one-day drop in the total number of cases. 

On June 3, the population used to calculate per capita figures for the state and county was adjusted upwards by 46,000 to account for Fort Benning in Chattahoochee County

Oct. 5, 2020: Georgia began reporting probable cases identified through antigen testing. The number of probable cases is updated once a week on Mondays.","[nan, 'fulton']","['houston', 'meriwether', 'schley', 'muscogee', 'lumpkin', 'mcduffie', 'liberty', 'paulding', 'lee', 'washington', 'toombs', 'walker', 'walton', 'wilkinson', 'hancock', 'crawford', 'greene', 'wheeler', 'white', 'gordon', 'upson', 'rockdale', 'clarke', 'barrow', 'warren', 'banks', 'lowndes', 'habersham', 'treutlen', 'echols', 'charlton', 'turner', 'rabun', 'long', 'montgomery', 'jones', 'seminole', 'wayne', 'stewart', 'talbot', 'glynn', 'baldwin', 'decatur', 'troup', 'catoosa', 'macon', 'appling', 'towns', 'polk', 'grady', 'monroe', 'atkinson', 'taylor', 'pike', 'murray', 'union', 'bacon', 'chattahoochee', 'johnson', 'miller', 'morgan', 'jeff davis', 'bleckley', 'brantley', 'evans', 'irwin', 'bryan', 'wilcox', 'oconee', 'dodge', 'bulloch', 'telfair', 'richmond', 'worth', 'pierce', 'marion', 'cook', 'effingham', 'dougherty', 'franklin', 'thomas', 'whitfield', 'sumter', 'dooly', 'mitchell', 'berrien', 'putnam', 'pickens', 'laurens', 'clinch', 'jenkins', 'elbert', 'wilkes', 'harris', 'floyd', 'haralson', 'mcintosh', 'chattooga', 'spalding', 'lincoln', 'gilmer', 'terrell', 'oglethorpe', 'coffee', 'carroll', 'brooks', 'coweta', 'hart', 'jefferson', 'jackson', 'dade', 'chatham', 'crisp', 'early', 'screven', 'columbia', 'peach', 'bartow', 'newton', 'heard', 'ware', 'stephens', 'tattnall', 'tift', 'burke', 'ben hill', 'lanier', 'jasper', 'madison', 'fannin', 'pulaski', 'randolph', 'emanuel', 'colquitt', 'butts', 'twiggs', 'calhoun', 'bibb', 'candler', 'lamar', 'dawson']"
2,Atlanta,,,,,dekalb,GA,7.84,,"[nan, 'fulton']","['houston', 'meriwether', 'schley', 'muscogee', 'lumpkin', 'mcduffie', 'liberty', 'paulding', 'lee', 'washington', 'toombs', 'walker', 'walton', 'wilkinson', 'hancock', 'crawford', 'greene', 'wheeler', 'white', 'gordon', 'upson', 'rockdale', 'clarke', 'barrow', 'warren', 'banks', 'lowndes', 'habersham', 'treutlen', 'echols', 'charlton', 'turner', 'rabun', 'long', 'montgomery', 'jones', 'seminole', 'wayne', 'stewart', 'talbot', 'glynn', 'baldwin', 'decatur', 'troup', 'catoosa', 'macon', 'appling', 'towns', 'polk', 'grady', 'monroe', 'atkinson', 'taylor', 'pike', 'murray', 'union', 'bacon', 'chattahoochee', 'johnson', 'miller', 'morgan', 'jeff davis', 'bleckley', 'brantley', 'evans', 'irwin', 'bryan', 'wilcox', 'oconee', 'dodge', 'bulloch', 'telfair', 'richmond', 'worth', 'pierce', 'marion', 'cook', 'effingham', 'dougherty', 'franklin', 'thomas', 'whitfield', 'sumter', 'dooly', 'mitchell', 'berrien', 'putnam', 'pickens', 'laurens', 'clinch', 'jenkins', 'elbert', 'wilkes', 'harris', 'floyd', 'haralson', 'mcintosh', 'chattooga', 'spalding', 'lincoln', 'gilmer', 'terrell', 'oglethorpe', 'coffee', 'carroll', 'brooks', 'coweta', 'hart', 'jefferson', 'jackson', 'dade', 'chatham', 'crisp', 'early', 'screven', 'columbia', 'peach', 'bartow', 'newton', 'heard', 'ware', 'stephens', 'tattnall', 'tift', 'burke', 'ben hill', 'lanier', 'jasper', 'madison', 'fannin', 'pulaski', 'randolph', 'emanuel', 'colquitt', 'butts', 'twiggs', 'calhoun', 'bibb', 'candler', 'lamar', 'dawson']"
3,Atlanta,,,,,gwinnett,GA,7.05,,"[nan, 'fulton']","['houston', 'meriwether', 'schley', 'muscogee', 'lumpkin', 'mcduffie', 'liberty', 'paulding', 'lee', 'washington', 'toombs', 'walker', 'walton', 'wilkinson', 'hancock', 'crawford', 'greene', 'wheeler', 'white', 'gordon', 'upson', 'rockdale', 'clarke', 'barrow', 'warren', 'banks', 'lowndes', 'habersham', 'treutlen', 'echols', 'charlton', 'turner', 'rabun', 'long', 'montgomery', 'jones', 'seminole', 'wayne', 'stewart', 'talbot', 'glynn', 'baldwin', 'decatur', 'troup', 'catoosa', 'macon', 'appling', 'towns', 'polk', 'grady', 'monroe', 'atkinson', 'taylor', 'pike', 'murray', 'union', 'bacon', 'chattahoochee', 'johnson', 'miller', 'morgan', 'jeff davis', 'bleckley', 'brantley', 'evans', 'irwin', 'bryan', 'wilcox', 'oconee', 'dodge', 'bulloch', 'telfair', 'richmond', 'worth', 'pierce', 'marion', 'cook', 'effingham', 'dougherty', 'franklin', 'thomas', 'whitfield', 'sumter', 'dooly', 'mitchell', 'berrien', 'putnam', 'pickens', 'laurens', 'clinch', 'jenkins', 'elbert', 'wilkes', 'harris', 'floyd', 'haralson', 'mcintosh', 'chattooga', 'spalding', 'lincoln', 'gilmer', 'terrell', 'oglethorpe', 'coffee', 'carroll', 'brooks', 'coweta', 'hart', 'jefferson', 'jackson', 'dade', 'chatham', 'crisp', 'early', 'screven', 'columbia', 'peach', 'bartow', 'newton', 'heard', 'ware', 'stephens', 'tattnall', 'tift', 'burke', 'ben hill', 'lanier', 'jasper', 'madison', 'fannin', 'pulaski', 'randolph', 'emanuel', 'colquitt', 'butts', 'twiggs', 'calhoun', 'bibb', 'candler', 'lamar', 'dawson']"
4,Atlanta,,,,,hall,GA,2.49,,"[nan, 'fulton']","['houston', 'meriwether', 'schley', 'muscogee', 'lumpkin', 'mcduffie', 'liberty', 'paulding', 'lee', 'washington', 'toombs', 'walker', 'walton', 'wilkinson', 'hancock', 'crawford', 'greene', 'wheeler', 'white', 'gordon', 'upson', 'rockdale', 'clarke', 'barrow', 'warren', 'banks', 'lowndes', 'habersham', 'treutlen', 'echols', 'charlton', 'turner', 'rabun', 'long', 'montgomery', 'jones', 'seminole', 'wayne', 'stewart', 'talbot', 'glynn', 'baldwin', 'decatur', 'troup', 'catoosa', 'macon', 'appling', 'towns', 'polk', 'grady', 'monroe', 'atkinson', 'taylor', 'pike', 'murray', 'union', 'bacon', 'chattahoochee', 'johnson', 'miller', 'morgan', 'jeff davis', 'bleckley', 'brantley', 'evans', 'irwin', 'bryan', 'wilcox', 'oconee', 'dodge', 'bulloch', 'telfair', 'richmond', 'worth', 'pierce', 'marion', 'cook', 'effingham', 'dougherty', 'franklin', 'thomas', 'whitfield', 'sumter', 'dooly', 'mitchell', 'berrien', 'putnam', 'pickens', 'laurens', 'clinch', 'jenkins', 'elbert', 'wilkes', 'harris', 'floyd', 'haralson', 'mcintosh', 'chattooga', 'spalding', 'lincoln', 'gilmer', 'terrell', 'oglethorpe', 'coffee', 'carroll', 'brooks', 'coweta', 'hart', 'jefferson', 'jackson', 'dade', 'chatham', 'crisp', 'early', 'screven', 'columbia', 'peach', 'bartow', 'newton', 'heard', 'ware', 'stephens', 'tattnall', 'tift', 'burke', 'ben hill', 'lanier', 'jasper', 'madison', 'fannin', 'pulaski', 'randolph', 'emanuel', 'colquitt', 'butts', 'twiggs', 'calhoun', 'bibb', 'candler', 'lamar', 'dawson']"
5,Atlanta,,,,,henry,GA,1.94,,"[nan, 'fulton']","['houston', 'meriwether', 'schley', 'muscogee', 'lumpkin', 'mcduffie', 'liberty', 'paulding', 'lee', 'washington', 'toombs', 'walker', 'walton', 'wilkinson', 'hancock', 'crawford', 'greene', 'wheeler', 'white', 'gordon', 'upson', 'rockdale', 'clarke', 'barrow', 'warren', 'banks', 'lowndes', 'habersham', 'treutlen', 'echols', 'charlton', 'turner', 'rabun', 'long', 'montgomery', 'jones', 'seminole', 'wayne', 'stewart', 'talbot', 'glynn', 'baldwin', 'decatur', 'troup', 'catoosa', 'macon', 'appling', 'towns', 'polk', 'grady', 'monroe', 'atkinson', 'taylor', 'pike', 'murray', 'union', 'bacon', 'chattahoochee', 'johnson', 'miller', 'morgan', 'jeff davis', 'bleckley', 'brantley', 'evans', 'irwin', 'bryan', 'wilcox', 'oconee', 'dodge', 'bulloch', 'telfair', 'richmond', 'worth', 'pierce', 'marion', 'cook', 'effingham', 'dougherty', 'franklin', 'thomas', 'whitfield', 'sumter', 'dooly', 'mitchell', 'berrien', 'putnam', 'pickens', 'laurens', 'clinch', 'jenkins', 'elbert', 'wilkes', 'harris', 'floyd', 'haralson', 'mcintosh', 'chattooga', 'spalding', 'lincoln', 'gilmer', 'terrell', 'oglethorpe', 'coffee', 'carroll', 'brooks', 'coweta', 'hart', 'jefferson', 'jackson', 'dade', 'chatham', 'crisp', 'early', 'screven', 'columbia', 'peach', 'bartow', 'newton', 'heard', 'ware', 'stephens', 'tattnall', 'tift', 'burke', 'ben hill', 'lanier', 'jasper', 'madison', 'fannin', 'pulaski', 'randolph', 'emanuel', 'colquitt', 'butts', 'twiggs', 'calhoun', 'bibb', 'candler', 'lamar', 'dawson']"
6,Atlanta,,,,,cherokee,GA,1.89,,"[nan, 'fulton']","['houston', 'meriwether', 'schley', 'muscogee', 'lumpkin', 'mcduffie', 'liberty', 'paulding', 'lee', 'washington', 'toombs', 'walker', 'walton', 'wilkinson', 'hancock', 'crawford', 'greene', 'wheeler', 'white', 'gordon', 'upson', 'rockdale', 'clarke', 'barrow', 'warren', 'banks', 'lowndes', 'habersham', 'treutlen', 'echols', 'charlton', 'turner', 'rabun', 'long', 'montgomery', 'jones', 'seminole', 'wayne', 'stewart', 'talbot', 'glynn', 'baldwin', 'decatur', 'troup', 'catoosa', 'macon', 'appling', 'towns', 'polk', 'grady', 'monroe', 'atkinson', 'taylor', 'pike', 'murray', 'union', 'bacon', 'chattahoochee', 'johnson', 'miller', 'morgan', 'jeff davis', 'bleckley', 'brantley', 'evans', 'irwin', 'bryan', 'wilcox', 'oconee', 'dodge', 'bulloch', 'telfair', 'richmond', 'worth', 'pierce', 'marion', 'cook', 'effingham', 'dougherty', 'franklin', 'thomas', 'whitfield', 'sumter', 'dooly', 'mitchell', 'berrien', 'putnam', 'pickens', 'laurens', 'clinch', 'jenkins', 'elbert', 'wilkes', 'harris', 'floyd', 'haralson', 'mcintosh', 'chattooga', 'spalding', 'lincoln', 'gilmer', 'terrell', 'oglethorpe', 'coffee', 'carroll', 'brooks', 'coweta', 'hart', 'jefferson', 'jackson', 'dade', 'chatham', 'crisp', 'early', 'screven', 'columbia', 'peach', 'bartow', 'newton', 'heard', 'ware', 'stephens', 'tattnall', 'tift', 'burke', 'ben hill', 'lanier', 'jasper', 'madison', 'fannin', 'pulaski', 'randolph', 'emanuel', 'colquitt', 'butts', 'twiggs', 'calhoun', 'bibb', 'candler', 'lamar', 'dawson']"
7,Atlanta,,,,,clayton,GA,1.78,,"[nan, 'fulton']","['houston', 'meriwether', 'schley', 'muscogee', 'lumpkin', 'mcduffie', 'liberty', 'paulding', 'lee', 'washington', 'toombs', 'walker', 'walton', 'wilkinson', 'hancock', 'crawford', 'greene', 'wheeler', 'white', 'gordon', 'upson', 'rockdale', 'clarke', 'barrow', 'warren', 'banks', 'lowndes', 'habersham', 'treutlen', 'echols', 'charlton', 'turner', 'rabun', 'long', 'montgomery', 'jones', 'seminole', 'wayne', 'stewart', 'talbot', 'glynn', 'baldwin', 'decatur', 'troup', 'catoosa', 'macon', 'appling', 'towns', 'polk', 'grady', 'monroe', 'atkinson', 'taylor', 'pike', 'murray', 'union', 'bacon', 'chattahoochee', 'johnson', 'miller', 'morgan', 'jeff davis', 'bleckley', 'brantley', 'evans', 'irwin', 'bryan', 'wilcox', 'oconee', 'dodge', 'bulloch', 'telfair', 'richmond', 'worth', 'pierce', 'marion', 'cook', 'effingham', 'dougherty', 'franklin', 'thomas', 'whitfield', 'sumter', 'dooly', 'mitchell', 'berrien', 'putnam', 'pickens', 'laurens', 'clinch', 'jenkins', 'elbert', 'wilkes', 'harris', 'floyd', 'haralson', 'mcintosh', 'chattooga', 'spalding', 'lincoln', 'gilmer', 'terrell', 'oglethorpe', 'coffee', 'carroll', 'brooks', 'coweta', 'hart', 'jefferson', 'jackson', 'dade', 'chatham', 'crisp', 'early', 'screven', 'columbia', 'peach', 'bartow', 'newton', 'heard', 'ware', 'stephens', 'tattnall', 'tift', 'burke', 'ben hill', 'lanier', 'jasper', 'madison', 'fannin', 'pulaski', 'randolph', 'emanuel', 'colquitt', 'butts', 'twiggs', 'calhoun', 'bibb', 'candler', 'lamar', 'dawson']"
8,Atlanta,,,,,forsyth,GA,1.65,,"[nan, 'fulton']","['houston', 'meriwether', 'schley', 'muscogee', 'lumpkin', 'mcduffie', 'liberty', 'paulding', 'lee', 'washington', 'toombs', 'walker', 'walton', 'wilkinson', 'hancock', 'crawford', 'greene', 'wheeler', 'white', 'gordon', 'upson', 'rockdale', 'clarke', 'barrow', 'warren', 'banks', 'lowndes', 'habersham', 'treutlen', 'echols', 'charlton', 'turner', 'rabun', 'long', 'montgomery', 'jones', 'seminole', 'wayne', 'stewart', 'talbot', 'glynn', 'baldwin', 'decatur', 'troup', 'catoosa', 'macon', 'appling', 'towns', 'polk', 'grady', 'monroe', 'atkinson', 'taylor', 'pike', 'murray', 'union', 'bacon', 'chattahoochee', 'johnson', 'miller', 'morgan', 'jeff davis', 'bleckley', 'brantley', 'evans', 'irwin', 'bryan', 'wilcox', 'oconee', 'dodge', 'bulloch', 'telfair', 'richmond', 'worth', 'pierce', 'marion', 'cook', 'effingham', 'dougherty', 'franklin', 'thomas', 'whitfield', 'sumter', 'dooly', 'mitchell', 'berrien', 'putnam', 'pickens', 'laurens', 'clinch', 'jenkins', 'elbert', 'wilkes', 'harris', 'floyd', 'haralson', 'mcintosh', 'chattooga', 'spalding', 'lincoln', 'gilmer', 'terrell', 'oglethorpe', 'coffee', 'carroll', 'brooks', 'coweta', 'hart', 'jefferson', 'jackson', 'dade', 'chatham', 'crisp', 'early', 'screven', 'columbia', 'peach', 'bartow', 'newton', 'heard', 'ware', 'stephens', 'tattnall', 'tift', 'burke', 'ben hill', 'lanier', 'jasper', 'madison', 'fannin', 'pulaski', 'randolph', 'emanuel', 'colquitt', 'butts', 'twiggs', 'calhoun', 'bibb', 'candler', 'lamar', 'dawson']"
9,Atlanta,,,,,douglas,GA,1.14,,"[nan, 'fulton']","['houston', 'meriwether', 'schley', 'muscogee', 'lumpkin', 'mcduffie', 'liberty', 'paulding', 'lee', 'washington', 'toombs', 'walker', 'walton', 'wilkinson', 'hancock', 'crawford', 'greene', 'wheeler', 'white', 'gordon', 'upson', 'rockdale', 'clarke', 'barrow', 'warren', 'banks', 'lowndes', 'habersham', 'treutlen', 'echols', 'charlton', 'turner', 'rabun', 'long', 'montgomery', 'jones', 'seminole', 'wayne', 'stewart', 'talbot', 'glynn', 'baldwin', 'decatur', 'troup', 'catoosa', 'macon', 'appling', 'towns', 'polk', 'grady', 'monroe', 'atkinson', 'taylor', 'pike', 'murray', 'union', 'bacon', 'chattahoochee', 'johnson', 'miller', 'morgan', 'jeff davis', 'bleckley', 'brantley', 'evans', 'irwin', 'bryan', 'wilcox', 'oconee', 'dodge', 'bulloch', 'telfair', 'richmond', 'worth', 'pierce', 'marion', 'cook', 'effingham', 'dougherty', 'franklin', 'thomas', 'whitfield', 'sumter', 'dooly', 'mitchell', 'berrien', 'putnam', 'pickens', 'laurens', 'clinch', 'jenkins', 'elbert', 'wilkes', 'harris', 'floyd', 'haralson', 'mcintosh', 'chattooga', 'spalding', 'lincoln', 'gilmer', 'terrell', 'oglethorpe', 'coffee', 'carroll', 'brooks', 'coweta', 'hart', 'jefferson', 'jackson', 'dade', 'chatham', 'crisp', 'early', 'screven', 'columbia', 'peach', 'bartow', 'newton', 'heard', 'ware', 'stephens', 'tattnall', 'tift', 'burke', 'ben hill', 'lanier', 'jasper', 'madison', 'fannin', 'pulaski', 'randolph', 'emanuel', 'colquitt', 'butts', 'twiggs', 'calhoun', 'bibb', 'candler', 'lamar', 'dawson']"
