,p-value,model,latent_dimension,mask_num,county
0,0.4311999976634979,GAP,20,02,Las Vegas
1,0.6791999936103821,GAP,12,02,Las Vegas
2,0.7964000105857849,GAP,15,02,Las Vegas
3,0.0,PPCA,10,05,Las Vegas
4,0.0,GAP,10,01,Las Vegas
5,0.0,PPCA,20,03,Las Vegas
6,0.0,PPCA,15,03,Las Vegas
7,0.0,PPCA,12,03,Las Vegas
8,0.7495999932289124,GAP,10,04,Las Vegas
9,0.0,PPCA,15,01,Las Vegas
10,0.0,PPCA,12,01,Las Vegas
11,0.0,PPCA,20,04,Las Vegas
12,0.0,PPCA,12,04,Las Vegas
13,0.0,GAP,5,05,Las Vegas
14,0.0,PPCA,15,04,Las Vegas
15,0.0,GAP,5,04,Las Vegas
16,0.4544000029563904,GAP,10,03,Las Vegas
17,0.0,PPCA,20,01,Las Vegas
18,0.006399999838322401,GAP,5,01,Las Vegas
19,0.3192000091075897,GAP,20,05,Las Vegas
20,0.00039999998989515007,GAP,15,05,Las Vegas
21,0.769599974155426,GAP,5,02,Las Vegas
22,0.6340000033378601,GAP,12,05,Las Vegas
23,0.925599992275238,GAP,5,03,Las Vegas
24,0.0,PPCA,10,02,Las Vegas
25,0.7427999973297119,GAP,15,04,Las Vegas
26,0.2712000012397766,GAP,12,04,Las Vegas
27,0.9383999705314636,GAP,20,01,Las Vegas
28,0.0,PPCA,10,03,Las Vegas
29,0.0,PPCA,5,04,Las Vegas
30,0.41839998960494995,GAP,12,01,Las Vegas
31,0.04479999840259552,GAP,15,01,Las Vegas
32,0.0,PPCA,5,05,Las Vegas
33,0.4580000042915344,GAP,20,04,Las Vegas
34,0.0,PPCA,12,05,Las Vegas
35,0.0,PPCA,15,05,Las Vegas
36,0.6047999858856201,GAP,10,02,Las Vegas
37,0.0,PPCA,5,01,Las Vegas
38,0.0,PPCA,5,03,Las Vegas
39,0.0,PPCA,20,05,Las Vegas
40,0.0,PPCA,5,02,Las Vegas
41,0.0,PPCA,15,02,Las Vegas
42,0.0,PPCA,12,02,Las Vegas
43,0.0,GAP,10,05,Las Vegas
44,0.0,PPCA,20,02,Las Vegas
45,0.5920000076293945,GAP,12,03,Las Vegas
46,0.5267999768257141,GAP,15,03,Las Vegas
47,0.0,PPCA,10,04,Las Vegas
48,0.3107999861240387,GAP,20,03,Las Vegas
49,0.0,PPCA,10,01,Las Vegas
50,0.00039999998989515007,GAP,20,05,Tampa Bay
51,0.0,PPCA,10,05,Tampa Bay
52,0.0,GAP,15,05,Tampa Bay
53,0.0,PPCA,20,03,Tampa Bay
54,0.675599992275238,GAP,10,03,Tampa Bay
55,0.0,PPCA,15,03,Tampa Bay
56,0.0,PPCA,20,04,Tampa Bay
57,0.8840000033378601,GAP,10,01,Tampa Bay
58,0.0,PPCA,15,01,Tampa Bay
59,0.0,PPCA,20,01,Tampa Bay
60,0.0,GAP,10,04,Tampa Bay
61,0.0,PPCA,15,04,Tampa Bay
62,0.9807999730110168,GAP,20,02,Tampa Bay
63,0.0,PPCA,10,02,Tampa Bay
64,0.3887999951839447,GAP,15,02,Tampa Bay
65,0.0,GAP,5,05,Tampa Bay
66,0.0,PPCA,10,03,Tampa Bay
67,1.0,GAP,15,03,Tampa Bay
68,0.0,GAP,5,04,Tampa Bay
69,0.0,GAP,20,03,Tampa Bay
70,0.0,GAP,5,02,Tampa Bay
71,0.27399998903274536,GAP,10,05,Tampa Bay
72,0.0,PPCA,15,05,Tampa Bay
73,0.0,GAP,5,03,Tampa Bay
74,0.0,PPCA,20,05,Tampa Bay
75,0.0,GAP,5,01,Tampa Bay
76,0.0,GAP,10,02,Tampa Bay
77,0.0,PPCA,5,01,Tampa Bay
78,0.0,PPCA,15,02,Tampa Bay
79,0.0,PPCA,5,02,Tampa Bay
80,0.0,PPCA,20,02,Tampa Bay
81,0.0,PPCA,5,03,Tampa Bay
82,0.9959999918937683,GAP,20,01,Tampa Bay
83,0.0,PPCA,10,04,Tampa Bay
84,0.0,GAP,15,04,Tampa Bay
85,0.0,PPCA,5,05,Tampa Bay
86,0.847599983215332,GAP,20,04,Tampa Bay
87,0.0,PPCA,10,01,Tampa Bay
88,0.9628000259399414,GAP,15,01,Tampa Bay
89,0.0,PPCA,5,04,Tampa Bay
90,1.0,GAP,10,05,Green Bay
91,0.0,PPCA,10,04,Green Bay
92,0.5027999877929688,GAP,5,03,Green Bay
93,0.1080000028014183,GAP,5,02,Green Bay
94,0.0,PPCA,10,01,Green Bay
95,0.029200000688433647,GAP,5,01,Green Bay
96,0.09120000153779984,GAP,5,04,Green Bay
97,0.9904000163078308,GAP,5,05,Green Bay
98,0.7296000123023987,GAP,15,03,Green Bay
99,0.0,PPCA,15,02,Green Bay
100,0.07240000367164612,PPCA,20,02,Green Bay
101,1.0,GAP,20,03,Green Bay
102,1.0,GAP,52,03,Green Bay
103,0.030799999833106995,PPCA,52,02,Green Bay
104,1.0,GAP,20,01,Green Bay
105,0.0,PPCA,15,05,Green Bay
106,1.0,GAP,52,01,Green Bay
107,1.0,GAP,15,04,Green Bay
108,0.0,PPCA,5,05,Green Bay
109,1.0,GAP,20,04,Green Bay
110,0.0,PPCA,20,05,Green Bay
111,0.0,PPCA,52,05,Green Bay
112,1.0,GAP,15,01,Green Bay
113,0.0,PPCA,5,04,Green Bay
114,0.829200029373169,GAP,52,04,Green Bay
115,0.0,PPCA,10,03,Green Bay
116,1.0,GAP,10,02,Green Bay
117,0.5663999915122986,PPCA,5,01,Green Bay
118,0.0035000001080334187,PPCA,5,02,Green Bay
119,0.6980000138282776,PPCA,5,03,Green Bay
120,0.0,PPCA,10,02,Green Bay
121,0.996399998664856,GAP,10,03,Green Bay
122,1.0,GAP,20,05,Green Bay
123,0.0,PPCA,20,04,Green Bay
124,0.5519999861717224,PPCA,52,04,Green Bay
125,0.0,PPCA,15,01,Green Bay
126,0.9995999932289124,GAP,52,05,Green Bay
127,0.0,PPCA,20,01,Green Bay
128,0.0,PPCA,15,04,Green Bay
129,0.0,PPCA,52,01,Green Bay
130,1.0,GAP,15,05,Green Bay
131,0.0,PPCA,20,03,Green Bay
132,1.0,GAP,20,02,Green Bay
133,1.0,GAP,52,02,Green Bay
134,0.0,PPCA,52,03,Green Bay
135,0.9052000045776367,GAP,15,02,Green Bay
136,0.04520000144839287,PPCA,15,03,Green Bay
137,1.0,GAP,10,01,Green Bay
138,1.0,GAP,10,04,Green Bay
139,0.0,PPCA,10,05,Green Bay
140,0.0,GAP,20,05,Carolina
141,0.0,PPCA,20,03,Carolina
142,0.0,PPCA,15,03,Carolina
143,0.0,GAP,15,05,Carolina
144,0.0,PPCA,10,05,Carolina
145,0.0,GAP,10,03,Carolina
146,0.0,GAP,10,01,Carolina
147,0.0,GAP,10,04,Carolina
148,0.0,PPCA,10,02,Carolina
149,0.0,PPCA,15,01,Carolina
150,0.0,PPCA,20,04,Carolina
151,0.0,GAP,20,02,Carolina
152,0.0,GAP,15,02,Carolina
153,0.0,PPCA,15,04,Carolina
154,0.0,PPCA,20,01,Carolina
155,0.0,GAP,15,03,Carolina
156,0.0,PPCA,15,05,Carolina
157,0.0,GAP,5,01,Carolina
158,0.0,GAP,5,03,Carolina
159,0.0,PPCA,20,05,Carolina
160,0.0,GAP,5,02,Carolina
161,0.0,GAP,20,03,Carolina
162,0.0,GAP,10,05,Carolina
163,0.0,PPCA,10,03,Carolina
164,0.0,GAP,5,04,Carolina
165,0.0,GAP,5,05,Carolina
166,0.0,PPCA,10,04,Carolina
167,0.0,GAP,10,02,Carolina
168,0.0,PPCA,5,01,Carolina
169,0.0,PPCA,5,03,Carolina
170,0.0,PPCA,5,02,Carolina
171,0.0,PPCA,10,01,Carolina
172,0.0,PPCA,15,02,Carolina
173,0.0,GAP,15,04,Carolina
174,0.0,GAP,20,01,Carolina
175,0.0,GAP,15,01,Carolina
176,0.0,PPCA,5,04,Carolina
177,0.0,GAP,20,04,Carolina
178,0.0,PPCA,5,05,Carolina
179,0.0,PPCA,20,02,Carolina
180,1.0,GAP,20,02,Cincinnati
181,0.0,PPCA,13,03,Cincinnati
182,1.0,GAP,15,02,Cincinnati
183,0.0,PPCA,10,02,Cincinnati
184,1.0,GAP,13,05,Cincinnati
185,1.0,GAP,10,01,Cincinnati
186,0.0,PPCA,15,01,Cincinnati
187,0.0,PPCA,20,04,Cincinnati
188,0.996999979019165,GAP,10,04,Cincinnati
189,0.0,PPCA,15,04,Cincinnati
190,0.0,PPCA,20,01,Cincinnati
191,0.9994999766349792,GAP,13,02,Cincinnati
192,0.0,PPCA,20,03,Cincinnati
193,0.0,PPCA,15,03,Cincinnati
194,1.0,GAP,10,03,Cincinnati
195,1.0,GAP,20,05,Cincinnati
196,0.0,PPCA,13,04,Cincinnati
197,0.0,PPCA,10,05,Cincinnati
198,0.0,PPCA,13,01,Cincinnati
199,1.0,GAP,15,05,Cincinnati
200,1.0,GAP,20,01,Cincinnati
201,0.0,PPCA,10,04,Cincinnati
202,1.0,GAP,15,04,Cincinnati
203,0.0,PPCA,5,05,Cincinnati
204,1.0,GAP,20,04,Cincinnati
205,0.0,PPCA,10,01,Cincinnati
206,0.0,PPCA,13,05,Cincinnati
207,1.0,GAP,15,01,Cincinnati
208,0.0,PPCA,5,04,Cincinnati
209,0.0,PPCA,15,02,Cincinnati
210,0.0,PPCA,5,01,Cincinnati
211,0.9965000152587891,GAP,10,02,Cincinnati
212,1.0,GAP,13,03,Cincinnati
213,0.0,PPCA,5,02,Cincinnati
214,0.0,PPCA,20,02,Cincinnati
215,0.0,PPCA,5,03,Cincinnati
216,1.0,GAP,13,01,Cincinnati
217,0.796500027179718,GAP,10,05,Cincinnati
218,0.0,PPCA,15,05,Cincinnati
219,0.0,GAP,5,04,Cincinnati
220,0.47999998927116394,GAP,5,05,Cincinnati
221,1.0,GAP,13,04,Cincinnati
222,0.0,PPCA,20,05,Cincinnati
223,0.0,GAP,5,03,Cincinnati
224,1.0,GAP,15,03,Cincinnati
225,0.3803333342075348,GAP,5,02,Cincinnati
226,0.0,PPCA,10,03,Cincinnati
227,1.0,GAP,20,03,Cincinnati
228,0.0,GAP,5,01,Cincinnati
229,0.0,PPCA,13,02,Cincinnati
230,0.0,PPCA,7,04,NY Jets
231,0.00033333332976326346,GAP,10,01,NY Jets
232,0.0,PPCA,10,05,NY Jets
233,0.0,PPCA,7,05,NY Jets
234,0.6396666765213013,GAP,10,04,NY Jets
235,0.0,PPCA,7,03,NY Jets
236,0.27166667580604553,GAP,20,02,NY Jets
237,0.0,PPCA,7,02,NY Jets
238,0.0,PPCA,15,03,NY Jets
239,0.0,PPCA,20,03,NY Jets
240,0.0,PPCA,7,01,NY Jets
241,0.562333345413208,GAP,15,02,NY Jets
242,0.0,PPCA,20,01,NY Jets
243,0.0,GAP,20,05,NY Jets
244,0.0,PPCA,15,04,NY Jets
245,0.0,GAP,5,05,NY Jets
246,0.0,PPCA,20,04,NY Jets
247,0.009999999776482582,GAP,15,05,NY Jets
248,0.8063333630561829,GAP,5,04,NY Jets
249,0.0,PPCA,15,01,NY Jets
250,0.0,PPCA,10,02,NY Jets
251,0.0,GAP,5,01,NY Jets
252,0.8659999966621399,GAP,10,03,NY Jets
253,0.0,GAP,5,02,NY Jets
254,0.0,GAP,5,03,NY Jets
255,0.20100000500679016,GAP,10,02,NY Jets
256,0.0,PPCA,5,01,NY Jets
257,0.0,PPCA,10,03,NY Jets
258,0.0,PPCA,5,02,NY Jets
259,0.0,PPCA,5,03,NY Jets
260,0.0,GAP,20,01,NY Jets
261,0.0,PPCA,20,05,NY Jets
262,0.0,GAP,15,04,NY Jets
263,0.0,PPCA,5,05,NY Jets
264,0.18400000035762787,GAP,20,04,NY Jets
265,0.0,PPCA,5,04,NY Jets
266,0.0,PPCA,15,05,NY Jets
267,0.6859999895095825,GAP,15,01,NY Jets
268,0.0,PPCA,20,02,NY Jets
269,0.0,GAP,7,03,NY Jets
270,0.1483333259820938,GAP,7,02,NY Jets
271,0.0,GAP,15,03,NY Jets
272,0.0,GAP,20,03,NY Jets
273,0.8493333458900452,GAP,7,01,NY Jets
274,0.0,PPCA,15,02,NY Jets
275,0.0,PPCA,10,01,NY Jets
276,0.44566667079925537,GAP,7,04,NY Jets
277,0.7393333315849304,GAP,10,05,NY Jets
278,0.0,GAP,7,05,NY Jets
279,0.0,PPCA,10,04,NY Jets
280,0.0,GAP,20,03,Chicago
281,0.0,PPCA,15,05,Chicago
282,0.0,PPCA,20,05,Chicago
283,0.0,GAP,15,03,Chicago
284,0.0,PPCA,10,03,Chicago
285,0.0,GAP,10,05,Chicago
286,0.0,PPCA,5,02,Chicago
287,0.0,PPCA,5,03,Chicago
288,0.0,PPCA,10,04,Chicago
289,0.0,GAP,10,02,Chicago
290,0.0,PPCA,5,01,Chicago
291,0.0,PPCA,10,01,Chicago
292,0.0,PPCA,15,02,Chicago
293,0.0,PPCA,5,05,Chicago
294,0.0,GAP,20,04,Chicago
295,0.0,PPCA,5,04,Chicago
296,0.0,GAP,15,01,Chicago
297,0.9275000095367432,GAP,20,01,Chicago
298,0.9983999729156494,GAP,15,04,Chicago
299,0.0,PPCA,20,02,Chicago
300,0.0,GAP,5,05,Chicago
301,0.0,GAP,15,05,Chicago
302,0.0,GAP,5,04,Chicago
303,0.0,PPCA,20,03,Chicago
304,0.0,PPCA,15,03,Chicago
305,0.8604000210762024,GAP,20,05,Chicago
306,0.0,GAP,10,03,Chicago
307,0.0,GAP,5,02,Chicago
308,0.01360000018030405,GAP,5,03,Chicago
309,0.0,GAP,5,01,Chicago
310,0.0,PPCA,10,05,Chicago
311,0.9484000205993652,GAP,10,04,Chicago
312,0.0,GAP,10,01,Chicago
313,0.0,PPCA,10,02,Chicago
314,0.0,PPCA,15,01,Chicago
315,0.0,PPCA,20,04,Chicago
316,0.06440000236034393,GAP,15,02,Chicago
317,0.0,GAP,20,02,Chicago
318,0.0,PPCA,15,04,Chicago
319,0.0,PPCA,20,01,Chicago
320,0.9440000057220459,GAP,15,01,Philadelphia
321,0.0,PPCA,5,04,Philadelphia
322,0.0,GAP,5,05,Philadelphia
323,0.4560000002384186,GAP,20,04,Philadelphia
324,0.0,PPCA,5,05,Philadelphia
325,0.0,GAP,5,04,Philadelphia
326,0.0,PPCA,20,02,Philadelphia
327,0.0,PPCA,15,02,Philadelphia
328,0.5351999998092651,GAP,15,04,Philadelphia
329,0.0,GAP,20,01,Philadelphia
330,0.0,PPCA,5,03,Philadelphia
331,0.0,GAP,5,02,Philadelphia
332,0.0,PPCA,5,02,Philadelphia
333,0.0,GAP,5,03,Philadelphia
334,0.0,PPCA,10,01,Philadelphia
335,0.0,GAP,5,01,Philadelphia
336,0.0,PPCA,10,04,Philadelphia
337,0.08320000022649765,GAP,10,02,Philadelphia
338,0.0,PPCA,5,01,Philadelphia
339,1.0,GAP,10,05,Philadelphia
340,0.0,PPCA,10,03,Philadelphia
341,0.0,PPCA,20,05,Philadelphia
342,0.7911999821662903,GAP,20,03,Philadelphia
343,0.0,GAP,15,03,Philadelphia
344,0.0,PPCA,15,05,Philadelphia
345,0.4715999960899353,GAP,15,02,Philadelphia
346,0.0,PPCA,15,04,Philadelphia
347,0.0,PPCA,20,01,Philadelphia
348,0.0,PPCA,15,01,Philadelphia
349,0.0,PPCA,20,04,Philadelphia
350,0.041600000113248825,GAP,20,02,Philadelphia
351,1.0,GAP,10,04,Philadelphia
352,0.0,PPCA,10,02,Philadelphia
353,0.0,GAP,10,01,Philadelphia
354,0.0,PPCA,10,05,Philadelphia
355,0.6995999813079834,GAP,10,03,Philadelphia
356,0.0,PPCA,15,03,Philadelphia
357,0.19519999623298645,GAP,15,05,Philadelphia
358,0.7491999864578247,GAP,20,05,Philadelphia
359,0.0,PPCA,20,03,Philadelphia
360,0.0,PPCA,20,05,Denver
361,1.0,GAP,10,04,Denver
362,0.9995999932289124,GAP,10,01,Denver
363,0.0,PPCA,15,05,Denver
364,1.0,GAP,15,02,Denver
365,0.0,PPCA,10,03,Denver
366,1.0,GAP,20,02,Denver
367,0.9991999864578247,GAP,15,05,Denver
368,0.0,PPCA,10,01,Denver
369,0.9987999796867371,GAP,5,01,Denver
370,0.9571999907493591,GAP,5,03,Denver
371,0.0,PPCA,10,04,Denver
372,0.9995999932289124,GAP,20,05,Denver
373,0.9395999908447266,GAP,5,02,Denver
374,0.0,PPCA,20,02,Denver
375,1.0,GAP,10,03,Denver
376,0.8615999817848206,GAP,5,04,Denver
377,0.0,PPCA,15,02,Denver
378,0.996399998664856,GAP,5,05,Denver
379,0.0,PPCA,5,03,Denver
380,0.0,PPCA,15,03,Denver
381,0.0,PPCA,5,02,Denver
382,0.0,PPCA,20,03,Denver
383,1.0,GAP,10,02,Denver
384,0.0,PPCA,5,01,Denver
385,0.0,PPCA,5,04,Denver
386,0.0,PPCA,10,05,Denver
387,1.0,GAP,15,01,Denver
388,0.9976000189781189,GAP,20,04,Denver
389,0.0,PPCA,5,05,Denver
390,1.0,GAP,15,04,Denver
391,1.0,GAP,20,01,Denver
392,0.0,PPCA,10,02,Denver
393,1.0,GAP,20,03,Denver
394,1.0,GAP,15,03,Denver
395,0.0,PPCA,20,01,Denver
396,0.0,PPCA,15,04,Denver
397,0.0,PPCA,20,04,Denver
398,0.0020000000949949026,PPCA,15,01,Denver
399,1.0,GAP,10,05,Denver
400,0.004333333112299442,GAP,10,03,San Francisco
401,0.0,PPCA,15,03,San Francisco
402,0.0,PPCA,20,03,San Francisco
403,0.05700000002980232,GAP,15,05,San Francisco
404,0.0,PPCA,10,05,San Francisco
405,0.0,GAP,20,05,San Francisco
406,0.0,GAP,5,02,San Francisco
407,0.0,PPCA,10,02,San Francisco
408,0.0,GAP,5,03,San Francisco
409,0.0,GAP,15,02,San Francisco
410,0.0,GAP,5,01,San Francisco
411,0.0,GAP,20,02,San Francisco
412,0.0,PPCA,15,04,San Francisco
413,0.0020000000949949026,GAP,10,04,San Francisco
414,0.0,GAP,5,05,San Francisco
415,0.0,PPCA,20,01,San Francisco
416,0.0,PPCA,15,01,San Francisco
417,0.2916666567325592,GAP,10,01,San Francisco
418,0.0,PPCA,20,04,San Francisco
419,0.0,PPCA,20,05,San Francisco
420,0.0,PPCA,15,05,San Francisco
421,0.08766666799783707,GAP,10,05,San Francisco
422,1.0,GAP,20,03,San Francisco
423,0.0,PPCA,10,03,San Francisco
424,0.9993333220481873,GAP,15,03,San Francisco
425,0.0,PPCA,5,05,San Francisco
426,0.0,GAP,20,04,San Francisco
427,0.6740000247955322,GAP,15,01,San Francisco
428,0.0,PPCA,10,01,San Francisco
429,0.0,PPCA,5,04,San Francisco
430,0.0,GAP,20,01,San Francisco
431,0.6859999895095825,GAP,15,04,San Francisco
432,0.0,PPCA,10,04,San Francisco
433,0.0,PPCA,5,02,San Francisco
434,0.0,PPCA,20,02,San Francisco
435,0.0,PPCA,5,03,San Francisco
436,0.0,GAP,10,02,San Francisco
437,0.0,PPCA,15,02,San Francisco
438,0.0,PPCA,5,01,San Francisco
439,0.0,PPCA,10,02,Indianapolis
440,0.11159999668598175,GAP,10,03,Indianapolis
441,0.0,PPCA,20,04,Indianapolis
442,0.9724000096321106,GAP,20,05,Indianapolis
443,0.11266666650772095,PPCA,15,01,Indianapolis
444,0.0,PPCA,20,01,Indianapolis
445,0.9995999932289124,GAP,15,05,Indianapolis
446,0.0,PPCA,15,04,Indianapolis
447,0.0,PPCA,20,03,Indianapolis
448,1.0,GAP,20,02,Indianapolis
449,0.6827999949455261,GAP,15,02,Indianapolis
450,0.0,PPCA,15,03,Indianapolis
451,0.0,GAP,10,01,Indianapolis
452,0.0,PPCA,10,05,Indianapolis
453,0.9908000230789185,GAP,10,04,Indianapolis
454,0.0,PPCA,10,04,Indianapolis
455,0.03720000013709068,GAP,10,05,Indianapolis
456,0.0,PPCA,10,01,Indianapolis
457,0.9904000163078308,GAP,15,03,Indianapolis
458,0.5809999704360962,PPCA,15,02,Indianapolis
459,0.6643333435058594,PPCA,20,02,Indianapolis
460,0.7088000178337097,GAP,20,03,Indianapolis
461,0.0,GAP,5,01,Indianapolis
462,0.8960000276565552,GAP,15,04,Indianapolis
463,0.0,PPCA,15,05,Indianapolis
464,0.9876000285148621,GAP,20,01,Indianapolis
465,0.9783999919891357,GAP,15,01,Indianapolis
466,0.0,PPCA,5,04,Indianapolis
467,0.0,GAP,5,02,Indianapolis
468,0.0,PPCA,20,05,Indianapolis
469,0.018400000408291817,GAP,20,04,Indianapolis
470,0.0,PPCA,5,05,Indianapolis
471,0.0,GAP,5,03,Indianapolis
472,0.0,PPCA,10,03,Indianapolis
473,0.0,GAP,10,02,Indianapolis
474,0.0,PPCA,5,01,Indianapolis
475,0.0,PPCA,5,03,Indianapolis
476,0.0,GAP,5,05,Indianapolis
477,0.0,PPCA,5,02,Indianapolis
478,0.0,GAP,5,04,Indianapolis
